"Código","Unidade Territorial","UF","Referência","Famílias PBF (até Out/2021)","Famílias PBF (a partir de Mar/2023)","Valor repassado às famílias PBF (até Out/2021)","Valor repassado às famílias PBF (a partir de Mar/2023)","Valor do Benefício médio (até Out/2021)","Valor do Benefício médio (a partir de Mar/2023)"
"430087","ARARICÁ","RS","2007","202","","149072","","737,98",""
"430087","ARARICÁ","RS","2010","409","","477332,00","","1167,07",""
"430087","ARARICÁ","RS","2013","417","","991468","","2377,62",""
"430087","ARARICÁ","RS","2014","354","","1030458","","2910,90",""
"430090","ARATIBA","RS","2012","137","","192548","","1405,46",""
"430090","ARATIBA","RS","2011","140","","182574,00","","1304,10",""
"430090","ARATIBA","RS","2009","133","","133943,00","","1007,09",""
"430090","ARATIBA","RS","2007","214","","148629","","694,53",""
"430090","ARATIBA","RS","2010","144","","151536,00","","1052,33",""
"430090","ARATIBA","RS","2008","123","","133670,00","","1086,75",""
"430090","ARATIBA","RS","2015","86","","154756","","1799,49",""
"430090","ARATIBA","RS","2016","77","","130328,00","","1692,57",""
"430090","ARATIBA","RS","2017","75","","127930","","1705,73",""
"430090","ARATIBA","RS","2018","58","","114233","","1969,53",""
"430090","ARATIBA","RS","2020","60","","38025,00","","633,75",""
"430090","ARATIBA","RS","2019","56","","106460,00","","1901,07",""
"430090","ARATIBA","RS","2013","121","","187132","","1546,55",""
"430090","ARATIBA","RS","2014","108","","172898","","1600,91",""
"430090","ARATIBA","RS","2021","67","","79767","","1190,55",""
"430100","ARROIO DO MEIO","RS","2010","293","","291386,00","","994,49",""
"430100","ARROIO DO MEIO","RS","2021","211","","250261","","1186,07",""
"430100","ARROIO DO MEIO","RS","2007","159","","153467","","965,20",""
"430100","ARROIO DO MEIO","RS","2009","318","","252393,00","","793,69",""
"430100","ARROIO DO MEIO","RS","2008","213","","187008,00","","877,97",""
"430100","ARROIO DO MEIO","RS","2013","229","","336758","","1470,56",""
"430100","ARROIO DO MEIO","RS","2011","259","","317179,00","","1224,63",""
"430100","ARROIO DO MEIO","RS","2020","192","","155113,00","","807,88",""
"430100","ARROIO DO MEIO","RS","2012","266","","362436","","1362,54",""
"430100","ARROIO DO MEIO","RS","2018","130","","271956","","2091,97",""
"430100","ARROIO DO MEIO","RS","2019","127","","266624,00","","2099,40",""
"430100","ARROIO DO MEIO","RS","2015","175","","269923","","1542,42",""
"430100","ARROIO DO MEIO","RS","2014","166","","267190","","1609,58",""
"430100","ARROIO DO MEIO","RS","2016","170","","285401,00","","1678,83",""
"430100","ARROIO DO MEIO","RS","2017","152","","295004","","1940,82",""
"430105","ARROIO DO SAL","RS","2015","308","","503463","","1634,62",""
"430105","ARROIO DO SAL","RS","2013","259","","401982","","1552,05",""
